model,train_alpha,score_type,mean_score,std_score,q95,q99
GAT_h32_l2_head1_a0.3,0.3,combined_score,0.7476754784584045,0.5328537821769714,1.903957724571228,2.4362313747406006
GAT_h32_l2_head1_a0.3,0.3,population_error,0.7782257795333862,0.8316600322723389,2.633305311203003,3.489694833755493
GAT_h32_l2_head1_a0.3,0.3,country_score,0.7018499374389648,0.2952849268913269,0.9990432262420654,0.9998899102210999
GAT_h32_l2_head1_a0.5,0.5,combined_score,0.7820754051208496,0.531315267086029,1.966448426246643,2.6118505001068115
GAT_h32_l2_head1_a0.5,0.5,population_error,0.8147844672203064,0.8332966566085815,2.6832451820373535,3.802212953567505
GAT_h32_l2_head1_a0.5,0.5,country_score,0.733011782169342,0.2791600227355957,0.9989203810691833,0.9998672008514404
GAT_h32_l2_head1_a0.7,0.7,combined_score,0.7332425713539124,0.5497406125068665,1.9572514295578003,2.5695412158966064
GAT_h32_l2_head1_a0.7,0.7,population_error,0.7323959469795227,0.8635567426681519,2.6876144409179688,3.6508071422576904
GAT_h32_l2_head1_a0.7,0.7,country_score,0.7345125675201416,0.27935299277305603,0.9993642568588257,0.9998179078102112
GAT_h32_l2_head1_a0.9,0.9,combined_score,0.7587316632270813,0.5662781596183777,2.0499372482299805,2.656480073928833
GAT_h32_l2_head1_a0.9,0.9,population_error,0.7449522614479065,0.8903766870498657,2.81927752494812,3.812183380126953
GAT_h32_l2_head1_a0.9,0.9,country_score,0.779400646686554,0.2534823715686798,0.9986395835876465,0.9993629455566406
GAT_h32_l2_head2_a0.1,0.1,combined_score,0.7424275875091553,0.5421697497367859,1.873397707939148,2.5555593967437744
GAT_h32_l2_head2_a0.1,0.1,population_error,0.8153618574142456,0.8476670980453491,2.6382486820220947,3.636218786239624
GAT_h32_l2_head2_a0.1,0.1,country_score,0.6330260634422302,0.33637145161628723,0.9988148212432861,0.999923050403595
GAT_h32_l2_head2_a0.3,0.3,combined_score,0.7198112607002258,0.5547007918357849,1.9526240825653076,2.512590169906616
GAT_h32_l2_head2_a0.3,0.3,population_error,0.7716917395591736,0.8593022227287292,2.7354955673217773,3.684623956680298
GAT_h32_l2_head2_a0.3,0.3,country_score,0.6419903039932251,0.3292461335659027,0.9990569353103638,0.9999518990516663
GAT_h32_l2_head2_a0.5,0.5,combined_score,0.7322951555252075,0.5556715726852417,1.9379457235336304,2.5918190479278564
GAT_h32_l2_head2_a0.5,0.5,population_error,0.7570015788078308,0.8634728789329529,2.714711904525757,3.7619893550872803
GAT_h32_l2_head2_a0.5,0.5,country_score,0.6952356100082397,0.30943018198013306,0.9991565942764282,0.99993896484375
GAT_h32_l2_head2_a0.7,0.7,combined_score,0.7168331742286682,0.5539747476577759,1.9753109216690063,2.5083975791931152
GAT_h32_l2_head2_a0.7,0.7,population_error,0.7380014061927795,0.8651743531227112,2.759674549102783,3.574260711669922
GAT_h32_l2_head2_a0.7,0.7,country_score,0.685080885887146,0.31553593277931213,0.9993818402290344,0.9998630881309509
GAT_h32_l2_head2_a0.9,0.9,combined_score,0.7475489974021912,0.5346931219100952,1.9322222471237183,2.481168746948242
GAT_h32_l2_head2_a0.9,0.9,population_error,0.7330808639526367,0.8415669202804565,2.736625909805298,3.574380397796631
GAT_h32_l2_head2_a0.9,0.9,country_score,0.7692511677742004,0.2589729428291321,0.998556911945343,0.9993289113044739
GAT_h32_l2_head4_a0.1,0.1,combined_score,0.7499467730522156,0.5418076515197754,1.9532831907272339,2.502222776412964
GAT_h32_l2_head4_a0.1,0.1,population_error,0.8056475520133972,0.8409046530723572,2.6867311000823975,3.5484771728515625
GAT_h32_l2_head4_a0.1,0.1,country_score,0.6663954854011536,0.3091118037700653,0.9984332919120789,0.9999449849128723
GAT_h32_l2_head4_a0.3,0.3,combined_score,0.7409238219261169,0.5398260951042175,1.954572081565857,2.599111795425415
GAT_h32_l2_head4_a0.3,0.3,population_error,0.7782959342002869,0.8439634442329407,2.6503684520721436,3.7535176277160645
GAT_h32_l2_head4_a0.3,0.3,country_score,0.6848655343055725,0.30653026700019836,0.9990168213844299,0.9998672604560852
GAT_h32_l2_head4_a0.5,0.5,combined_score,0.689402163028717,0.5645245313644409,1.8878291845321655,2.5394601821899414
GAT_h32_l2_head4_a0.5,0.5,population_error,0.7051248550415039,0.8758207559585571,2.669978380203247,3.6837565898895264
GAT_h32_l2_head4_a0.5,0.5,country_score,0.6658180952072144,0.3198745548725128,0.9993218779563904,0.9999128580093384
GAT_h32_l2_head4_a0.7,0.7,combined_score,0.7040042281150818,0.5636166930198669,1.9802874326705933,2.6760764122009277
GAT_h32_l2_head4_a0.7,0.7,population_error,0.7076654434204102,0.8791448473930359,2.6997287273406982,3.985090494155884
GAT_h32_l2_head4_a0.7,0.7,country_score,0.6985124349594116,0.2975030541419983,0.9988803863525391,0.9998026490211487
GAT_h32_l2_head4_a0.9,0.9,combined_score,0.7288755178451538,0.5557283759117126,1.954768419265747,2.6451733112335205
GAT_h32_l2_head4_a0.9,0.9,population_error,0.7139288783073425,0.8714146614074707,2.6501643657684326,3.8026726245880127
GAT_h32_l2_head4_a0.9,0.9,country_score,0.7512951493263245,0.2649361491203308,0.9987132549285889,0.9994199275970459
GAT_h32_l3_head1_a0.1,0.1,combined_score,0.8387800455093384,0.5936494469642639,2.0688059329986572,2.730764150619507
GAT_h32_l3_head1_a0.1,0.1,population_error,0.9464207291603088,0.9358217120170593,2.8531806468963623,3.9779927730560303
